feature,mean_shap
age,0.3877668
comorbidity_count,0.2134685
lactate,0.18588203
albumin_creatinine_ratio,0.18552397
age_los_interaction,0.1826991
prior_admissions_ed_total,0.17824356
albumin,0.13843612
icu_flag,0.10299721
prior_admissions_1yr,0.09169465
creatinine,0.071032695
spo2,0.054170176
discharge_disposition_Rehab,0.050742444
inr,0.04148835
bun,0.04015042
platelets,0.040063083
wbc,0.039081093
shock_index,0.03577999
primary_icd10_A41,0.035658855
creatinine_bun_ratio,0.03430467
sodium,0.03255158
glucose,0.032536473
total_bili,0.032345112
ast,0.031349916
pulse_pressure,0.030961417
length_of_stay,0.030223994
sodium_potassium_ratio,0.030007211
alt,0.029922547
systolic_bp,0.028558066
respiratory_rate,0.028136753
temperature,0.027622888
troponin,0.026644744
potassium,0.026561502
heart_rate,0.0262014
primary_icd10_Z38,0.025133392
diastolic_bp,0.02502069
hemoglobin,0.022662286
primary_icd10_J44,0.021920731
primary_icd10_E86,0.01894689
primary_icd10_I50,0.017762681
discharge_disposition_AMA,0.017298015
elevated_lactate,0.01684635
med_beta_blocker,0.016273424
primary_icd10_M54,0.015242833
primary_icd10_J96,0.0135830445
med_bronchodilator,0.0117829805
primary_icd10_K57,0.011249089
primary_icd10_J18,0.010022298
low_albumin,0.00977083
prior_ed_visits_1yr,0.0089257
primary_icd10_I63,0.008371099
primary_icd10_F20,0.008127826
primary_icd10_N18,0.007566408
primary_icd10_K92,0.0071074083
primary_icd10_I10,0.006829139
insurance_Private,0.0064332443
race_White,0.0064230743
med_statin,0.0061587146
discharge_disposition_Home,0.0060878126
med_antibiotic,0.0059958315
med_diuretic,0.005952684
med_opioid_analgesic,0.00478189
insurance_Medicare,0.0044653006
med_anticoagulant,0.004267611
med_insulin,0.004227441
gender_F,0.0039023028
med_corticosteroid,0.0037976836
care_unit_PSYCH,0.0035869968
care_unit_ONCO,0.003501572
med_antidepressant,0.003415186
discharge_disposition_Home_Health,0.003251703
med_antipsychotic,0.0030345246
race_Hispanic,0.003000941
care_unit_MED,0.0028827933
discharge_disposition_SNF,0.0027982101
med_ACE_inhibitor,0.0025362966
race_Black,0.0023666348
insurance_Medicaid,0.0022522248
primary_icd10_E11,0.0022462932
primary_icd10_K56,0.0022220577
care_unit_SURG,0.0021935238
high_inr,0.0021567214
care_unit_CCU,0.0021038125
primary_icd10_S72,0.0020736398
insurance_Self-pay,0.0020576296
care_unit_CSRU,0.001964407
care_unit_SICU,0.0018619108
primary_icd10_C34,0.0017176033
care_unit_MICU,0.001649602
low_hemoglobin,0.0014052889
gender_M,0.0013876987
high_wbc,0.0013840876
race_Other,0.0013183862
race_Asian,0.0010870247
primary_icd10_I21,0.0010397078
care_unit_NICU,0.0008683772
tachycardia,0.0006393583
primary_icd10_G20,0.0006079524
discharge_disposition_Expired,0.00044502917
hypotension,0.0
hypoxia,0.0
